player_id,player_name,bat_style,bowl_style,field_pos,player_full_name,player_name2,player_image
407100%,D Padikkal,Left hand Bat,Right arm Offbreak, ,Devdutt Padikkal,Devdutt Padikkal,https://www.espncricinfo.com/cricketers/devdutt-padikkal-1119026
679500%,D Pretorius,Right hand Bat,Right arm Medium fast, ,Dwaine Pretorius,Dwaine Pretorius,
1197000%,D Salunkhe,Right hand Bat,Legbreak, ,Dinesh Salunkhe,Dinesh Salunkhe,
906900%,D Wiese,Right hand Bat,Right arm Medium fast, ,David Wiese,David Wiese,
7200%,DA Miller,Left hand Bat,Right arm Offbreak, ,David Andrew Miller,David Andrew,
1200%,DA Warner,Left hand Bat,Legbreak, ,David Andrew Warner,David Andrew,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/David%20Warner.png
3435600%,DAJ Bracewell,Right hand Bat,Right arm Fast medium, ,Douglas Andrew John Bracewell,Douglas Andrew,
1225200%,DB Das,Right hand Bat,Legbreak Googly, ,Debabrata Baidya Das,Debabrata Baidya,
1236400%,DB Ravi Teja,Right hand Bat,Legbreak Googly, ,Dwaraka Bhamidipati Ravi Teja,Dwaraka Bhamidipati,
1514000%,DE Bollinger,Left hand Bat,Left arm Fast medium, ,Douglas Erwin Bollinger,Douglas Erwin,
700500%,DG Nalkande,Right hand Bat,Right arm Fast medium, ,Darshan Girish Nalkande,Darshan Girish,
1624900%,DH Yagnik,Left hand Bat, , ,Dishant Harendra Yagnik,Dishant Harendra,
847000%,Dhruv Jurel,Right hand Bat, , ,Dhruv Chand Jurel,Dhruv Chand,
139300%,DJ Bravo,Right hand Bat,Right arm Medium, ,Dwayne John Bravo,Dwayne John,https://ipl-stats-sports-mechanic.s3.ap-south-1.amazonaws.com/ipl/playerimages/Dwayne%20Bravo.png
3438200%,DJ Harris,Right hand Bat,Right arm Medium, ,Daniel Joseph Harris,Daniel Joseph,
1600%,DJ Hooda,Right hand Bat,Right arm Offbreak, ,Deepak Jagbir Hooda,Deepak Jagbir,
1192200%,DJ Hussey,Right hand Bat,Right arm Offbreak, ,David John Hussey,David John,
1584600%,DJ Jacobs,Right hand Bat,Right arm Medium,Wicketkeeper,David Johan Jacobs,David Johan,
595500%,DJ Malan,Left hand Bat,Legbreak, ,Dawid Johannes Malan,Dawid Johannes,
749600%,DJ Mitchell,Right hand Bat,Right arm Medium, ,Daryl Joseph Mitchell,Daryl Joseph,
3892400%,DJ Muthuswami,Right hand Bat,Right arm Medium, ,Domnic Joseph Muthuswami,Domnic Joseph,
1198700%,DJ Thornely,Right hand Bat,"Right arm Medium, Right arm Offbreak", ,Dominic John Thornely,Dominic John,
214200%,DJ Willey,Left hand Bat,Left arm Fast medium, ,David Jonathan Willey,David Jonathan,
3661000%,DJG Sammy,Right hand Bat,Right arm Medium, ,Daren Julius Garvey Sammy,Daren Julius,
144300%,DJM Short,Left hand Bat,Left arm Wrist spin, ,D'Arcy John Matthew Short,D'Arcy John,
4100%,DL Chahar,Right hand Bat,Right arm Medium, ,Deepak Lokandersingh Chahar,Deepak Lokandersingh,
1198100%,DL Vettori,Left hand Bat,Slow Left arm Orthodox, ,Daniel Luca Vettori,Daniel Luca,
69700%,DM Bravo,Left hand Bat,Right arm Medium,Occasional Wicketkeeper,Darren Michael Bravo,Darren Michael,
1219300%,DNT Zoysa,Left hand Bat,Left arm Fast medium, ,Demuni Nuwan Tharanga Zoysa,Demuni Nuwan,
